Date,Netherlands,Groningen_PV,Friesland_PV,Drenthe_PV,Overijssel_PV,Flevoland_PV,Gelderland_PV,Utrecht_PV,Noord-Holland_PV,Zuid-Holland_PV,Zeeland_PV,Noord-Brabant_PV,Limburg_PV,Amsterdam,Den Haag,Rotterdam,Utrecht
06/30/1999,159.661835748792,140.654205607477,158.354114713217,151.508120649652,156.279069767442,147.975708502024,163.764705882353,167.012987012987,169.86301369863,152.843601895735,143.734015345269,162.621359223301,156.923076923077,188.194444444444,146.835443037975,154.046997389034,174.924471299094
09/30/1999,168.115942028986,146.495327102804,167.331670822943,160.556844547564,164.418604651163,155.87044534413,173.647058823529,177.142857142857,180.547945205479,159.715639810427,150.639386189258,171.116504854369,162.307692307692,198.611111111111,156.455696202532,161.357702349869,182.175226586103
12/31/1999,175.36231884058,150.700934579439,172.817955112219,169.141531322506,169.302325581395,164.17004048583,183.294117647059,185.974025974026,190.41095890411,166.113744075829,155.242966751918,177.669902912621,167.115384615385,207.986111111111,161.772151898734,168.146214099217,190.030211480363
03/31/2000,183.333333333333,155.607476635514,180.548628428928,175.174013921114,180.46511627907,171.052631578947,191.058823529412,192.987012987013,198.356164383562,172.985781990521,161.636828644501,187.621359223301,175.384615384615,221.527777777778,166.835443037975,176.501305483029,193.051359516616
06/30/2000,190.579710144928,162.616822429907,190.773067331671,184.686774941995,188.372093023256,177.935222672065,198.823529411765,201.818181818182,206.301369863014,179.620853080569,167.263427109974,194.417475728155,178.653846153846,228.819444444444,175.696202531646,181.984334203655,197.583081570997
09/30/2000,198.792270531401,171.261682242991,200.74812967581,192.343387470998,195.813953488372,185.02024291498,205.882352941176,210.12987012987,215.342465753425,187.677725118483,174.424552429668,202.912621359223,185.384615384615,235.069444444444,185.316455696203,189.556135770235,203.92749244713
12/31/2000,203.381642512077,175.934579439252,202.493765586035,197.215777262181,201.162790697674,187.449392712551,210.823529411765,212.727272727273,220.27397260274,193.601895734597,178.772378516624,207.766990291262,187.307692307692,243.055555555556,194.177215189873,192.689295039165,206.948640483384
03/31/2001,208.212560386473,180.373831775701,211.221945137157,202.784222737819,206.279069767442,194.331983805668,217.176470588235,214.805194805195,226.849315068493,197.39336492891,184.143222506394,214.077669902913,187.307692307692,255.555555555556,196.708860759494,201.827676240209,210.271903323263
06/30/2001,213.768115942029,186.214953271028,216.957605985037,209.976798143851,212.558139534884,197.773279352227,222.352941176471,218.441558441558,233.424657534247,203.791469194313,188.746803069054,218.932038834951,191.538461538462,262.847222222222,205.06329113924,204.699738903394,212.990936555891
09/30/2001,219.323671497585,196.728971962617,222.942643391521,212.529002320186,220.697674418605,198.987854251012,224.941176470588,223.376623376623,236.712328767123,210.189573459716,196.93094629156,227.184466019417,195.961538461538,268.055555555556,211.898734177215,212.793733681462,217.522658610272
12/31/2001,221.256038647343,198.598130841122,226.683291770574,214.385150812065,219.06976744186,201.417004048583,229.411764705882,224.675324675325,238.356164383562,212.085308056872,202.557544757033,229.368932038835,195.192307692308,269.097222222222,215.696202531646,215.926892950392,221.450151057402
03/31/2002,225.12077294686,203.971962616822,229.426433915212,217.401392111369,224.418604651163,206.477732793522,232.235294117647,229.090909090909,241.917808219178,216.113744075829,207.6726342711,234.223300970874,198.846153846154,270.486111111111,218.227848101266,221.409921671018,222.054380664653
06/30/2002,228.260869565217,207.943925233645,232.668329177057,221.345707656613,226.511627906977,209.716599190283,237.176470588235,230.649350649351,245.205479452055,219.905213270142,207.6726342711,236.650485436893,200.769230769231,269.791666666667,223.544303797468,225.065274151436,223.262839879154
09/30/2002,232.125603864734,213.317757009346,238.403990024938,225.290023201856,233.255813953488,214.17004048583,240,232.987012987013,247.945205479452,223.222748815166,218.925831202046,241.019417475728,204.615384615385,272.222222222222,225.822784810127,231.592689295039,225.075528700906
12/31/2002,231.884057971014,212.85046728972,237.406483790524,225.986078886311,231.162790697674,215.587044534413,240,229.61038961039,247.397260273973,222.985781990521,221.227621483376,242.961165048544,204.230769230769,267.708333333333,227.848101265823,230.809399477807,226.888217522659
03/31/2003,234.057971014493,218.224299065421,246.384039900249,228.30626450116,232.790697674419,215.991902834008,242.352941176471,234.805194805195,244.657534246575,227.488151658768,224.296675191816,243.932038834951,203.461538461538,265.277777777778,232.405063291139,235.248041775457,231.722054380665
